explanation,classified_category
"The United Kingdom will provide Ukraine with an additional 18 GBP million of humanitarian aid. The source of aid 1 also specifies that 8 GBP million will be dedicated to ""fortifying Ukraine’s energy infrastructure against further Russian attacks."" It is mentioned that ""some of that funding"" will go to ""organizations like the UN and Red Cross."" We assume that ""some of that funding"" refers to the remaining amount, which equals 10 GBP million. We equally distribute this amount between the UN and the Red Cross. Here we report the 8 GBP million part of the donation. ",Financial & Economic Aid
"The United Kingdom will provide Ukraine with an additional 18 GBP million of humanitarian aid. The source of aid 1 also specifies that 8 GBP million will be dedicated to ""fortifying Ukraine’s energy infrastructure against further Russian attacks."" It is mentioned that ""some of that funding"" will go to ""organizations like the UN and Red Cross."" We assume that ""some of that funding"" refers to the remaining amount, which equals 10 GBP million. We equally distribute this amount between the UN and the Red Cross. Here we report 5 GBP million to UN organisations. ",Financial & Economic Aid
"The United Kingdom will provide Ukraine with an additional 18 GBP million of humanitarian aid. The source of aid 1 also specifies that 8 GBP million will be dedicated to ""fortifying Ukraine’s energy infrastructure against further Russian attacks."" It is mentioned that ""some of that funding"" will go to ""organizations like the UN and Red Cross."" We assume that ""some of that funding"" refers to the remaining amount, which equals 10 GBP million. We equally distribute this amount between the UN and the Red Cross. Here we report 5 GBP million to UN organisations. Here we report 5 GBP million to Red Cross.",Financial & Economic Aid
"On February 24, 2024, the UK Foreign, Commonwealth & Development Office announced a contribution of GBP 6 million to the Red Cross Movement’s neutral and impartial work, reinforcing their existing emergency response projects and their support to the most vulnerable in Ukraine.",Financial & Economic Aid
"On February 24, 2024, the UK Foreign, Commonwealth & Development Office announced a contribution of GBP 2.5 million to the Ukraine Humanitarian Fund, part of the UN’s Office for the Coordination of Humanitarian Affairs (Source 1). However, the mid-year report for the UHF(Source 2) indicates that the UK’s contribution between January and June 2024 totals USD 2.7 million, which is significantly smaller than the amount reported by the UK government. Given this discrepancy, here we report the larger value (GBP 2.5 million) in accordance with our upper-bound rule.",Financial & Economic Aid
"According to Source of aid 1, Prime Minister Sunak announced GBP 242 million in bilateral assistance to Ukraine, to support immediate humanitarian, energy and stabilisation needs, and lay the foundations for longer term economic and social recovery and reconstruction.",Financial & Economic Aid
"The UK has committed over £1 million in international development funding for the Green Transition Office via the FCDO’s Ukraine Resilience and Energy Security programme. The Green Transition Office will help implement Ukraine’s National Energy and Climate Plan, a cross-sector plan setting out milestones and policy measures to help Ukraine meet its goal of reducing greenhouse gas emissions by 65% compared to 1990 levels by 2030. The Green Transition Office will provide expert advice and support to Ukraine’s ministries, with a view to attracting green investment and enhancing the role of business in Ukraine’s green recovery.  ",Financial & Economic Aid
"The UK has provided £35 million of emergency support to help Ukraine repair its energy grid and support the most vulnerable through a third winter of war. These includes a £20 million uplift to support emergency energy needs, as well as support for carrying out vital repairs to the electricity transmission network and providing further power generation capacity and critical protection for energy infrastructure. This includes a project to generate an additional 20MW of power supply, enough to provide power to up to 20,000 homes. Moreover, a further £15 million will provide lifesaving humanitarian support to the most in need as temperatures in Ukraine plummet: while £5m will go to UNICEF to provide basic necessities, £10 million will be delivered through UNHCR to provide more than 21,000 families with rapid thermal kits, shelter repairs, and additional cash payments for winter, as well as generators and support to local winterisation of collective centres housing vulnerable people who have been displaced from their homes by Russian aggression. This entry records the first 20 million GBP.",Financial & Economic Aid
"The UK has provided £35 million of emergency support to help Ukraine repair its energy grid and support the most vulnerable through a third winter of war. These includes a £20 million uplift to support emergency energy needs, as well as support for carrying out vital repairs to the electricity transmission network and providing further power generation capacity and critical protection for energy infrastructure. This includes a project to generate an additional 20MW of power supply, enough to provide power to up to 20,000 homes. Moreover, a further £15 million will provide lifesaving humanitarian support to the most in need as temperatures in Ukraine plummet: while £5m will go to UNICEF to provide basic necessities, £10 million will be delivered through UNHCR to provide more than 21,000 families with rapid thermal kits, shelter repairs, and additional cash payments for winter, as well as generators and support to local winterisation of collective centres housing vulnerable people who have been displaced from their homes by Russian aggression. This entry records the 5 million GBP to UNICEF.",Financial & Economic Aid
"The UK has provided £35 million of emergency support to help Ukraine repair its energy grid and support the most vulnerable through a third winter of war. These includes a £20 million uplift to support emergency energy needs, as well as support for carrying out vital repairs to the electricity transmission network and providing further power generation capacity and critical protection for energy infrastructure. This includes a project to generate an additional 20MW of power supply, enough to provide power to up to 20,000 homes. Moreover, a further £15 million will provide lifesaving humanitarian support to the most in need as temperatures in Ukraine plummet: while £5m will go to UNICEF to provide basic necessities, £10 million will be delivered through UNHCR to provide more than 21,000 families with rapid thermal kits, shelter repairs, and additional cash payments for winter, as well as generators and support to local winterisation of collective centres housing vulnerable people who have been displaced from their homes by Russian aggression. This entry records the 10 million GBP to UNHCR.",Financial & Economic Aid
"£4.5m is being announced  to aid Ukraine’s efforts in seeking justice for war crimes committed during Russia’s full-scale invasion of Ukraine. The funding is designed to support Ukraine’s documentation, investigation and prosecution of war crimes, and complements the UK’s work with US and EU partners via the Atrocity Crimes Advisory Group.",General Announcements
